analyzer_name,category,risk_count,risk_codes,field_count
basic,core,3,"RISK-001,RISK-002,RISK-003",7
helius_identity,third_party,3,"RISK-043,RISK-044,RISK-045",5
inner_instruction,core,5,"RISK-022,RISK-023,RISK-024,RISK-025,RISK-026",8
instruction_data,core,4,"RISK-027,RISK-028,RISK-029,RISK-030",5
jupiter_token,third_party,3,"RISK-053,RISK-054,RISK-055",4
ottersec_verified,third_party,4,"RISK-039,RISK-040,RISK-041,RISK-042",5
program_complexity,core,4,"RISK-018,RISK-019,RISK-020,RISK-021",4
rugcheck,third_party,7,"RISK-046,RISK-047,RISK-048,RISK-049,RISK-050,RISK-051,RISK-052",13
security,core,4,"RISK-004,RISK-005,RISK-006,RISK-007",10
simulation_balance_analyzer,simulation,2,"RISK-056,RISK-057",4
simulation_compute_analyzer,simulation,2,"RISK-062,RISK-063",4
simulation_cpi_analyzer,simulation,2,"RISK-060,RISK-061",4
simulation_failure_analyzer,simulation,2,"RISK-064,RISK-065",4
simulation_log_analyzer,simulation,2,"RISK-066,RISK-067",4
simulation_token_analyzer,simulation,2,"RISK-058,RISK-059",4
system_program,core,4,"RISK-014,RISK-015,RISK-016,RISK-017",5
token_instructions,core,6,"RISK-008,RISK-009,RISK-010,RISK-011,RISK-012,RISK-013",6
token_mint,third_party,4,"RISK-035,RISK-036,RISK-037,RISK-038",5
transaction_logs,core,4,"RISK-031,RISK-032,RISK-033,RISK-034",5
